ID,registration_started,registration_finished,campus,program,"Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most4","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most5","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most6","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most7","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most8","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most9","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most10","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most11","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most12","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most13",Tværfagligt problemdesign,Systemtænkning i ingeniørvidenskab,Etisk teknologivurdering,Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,Digitale praksisser i projektarbejdet,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,"Motivation, trivsel og work-life balance",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Ethical technology assessment,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Professional identity development,Interdisciplinary problem design,Systems thinking in engineering,Collaboration across discplines,Facilitation of productive meeting,SCRUM-techniques in project work?,Generative AI in study practices?,"Motivation, well-being and work-life balance?",Creativity and entrepeneurship,Psychological safety in teamwork,Digital practices in project work,SUMA,Tværfagligt problemdesign.1,Systemtænkning i ingeniørvidenskab.1,Etisk teknologivurdering.1,Psykologisk tryghed i teams.1,Samarbejde på tværs af fagligheder.1,Facilitering af produktive møder.1,Digitale praksisser i projektarbejdet.1,SCRUM-teknikker i projektarbejdet.1,Generativ AI i studiepraksis.1,"Motivation, trivsel og work-life balance.1",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day).1,Clarification of individual professional competences.1,Ethical technology assessment?,Psychological safety in team work.1,Professional communication with external partners.1,Leadership and project management.1,Digital and hybrid practices in collaborative work.1,Professional identity development.1,Interdisciplinary problem design.1,Systems thinking in engineering.1,Collaboration across discplines.1,Facilitation of productive meeting.1,SCRUM-techniques in project work?.1,Generative AI in study practices?.1,"Motivation, well-being and work-life balance?.1",Creativity and entrepeneurship.1,Psychological safety in teamwork.1,Digital practices in project work.1
11,2025-02-12 10:13:50.574418950,2025-02-12 10:16:48.407709754,AAL,master,Psychological safety in team work,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Ethical technology assessment,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Leadership and project management,,,,,,,,,,,,,,2,,1,,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2025-02-10 08:45:10.773552776,2025-02-10 08:46:27.281659780,ESB,bachelor,Facilitering af produktive møder,Psykologisk tryghed i teams,Interdisciplinary problem design,Digitale praksisser i projektarbejdet,Samarbejde på tværs af fagligheder,Etisk teknologivurdering,Facilitation of productive meeting,SCRUM-techniques in project work?,"Motivation, trivsel og work-life balance",Samarbejde på tværs af fagligheder,,,,2,,1,,,,,,,,,,,,,3,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2025-02-11 11:24:53.405334029,2025-02-11 11:36:39.471861651,CPH,bachelor,Systems thinking in engineering,Interdisciplinary problem design,Etisk teknologivurdering,Generativ AI i studiepraksis,Samarbejde på tværs af fagligheder,Psykologisk tryghed i teams,Psychological safety in teamwork,Collaboration across discplines,Psykologisk tryghed i teams,Generativ AI i studiepraksis,,,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2025-02-07 14:36:11.587412362,2025-02-07 14:37:15.488202451,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Clarification of individual professional competences,Professional communication with external partners,Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Psychological safety in team work,Professional identity development,,,,,,,,,,,,,1,3,2,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2025-02-11 15:40:55.319715981,2025-02-11 15:45:22.672939771,AAL,master,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Leadership and project management,Professional communication with external partners,Creativity and entrepeneurship,Ethical technology assessment,Clarification of individual professional competences,,,,,,,,,,,,,2,,,1,,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2025-02-13 15:54:48.510445622,2025-02-13 15:59:32.376228662,ESB,master,Clarification of individual professional competences,Leadership and project management,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Professional communication with external partners,Digital and hybrid practices in collaborative work,Psychological safety in team work,,,,,,,,,,,,,,1,,,,2,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2025-02-06 13:33:41.649379955,2025-02-06 13:54:08.005236295,ESB,bachelor,Ethical technology assessment,Collaboration across discplines,Etisk teknologivurdering,Digitale praksisser i projektarbejdet,Facilitering af produktive møder,Digital practices in project work,Generative AI in study practices?,Ethical technology assessment?,Digitale praksisser i projektarbejdet,Generativ AI i studiepraksis,,,3,,,,,,,,,,1,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2025-02-07 13:45:37.036254369,2025-02-07 13:47:57.970069351,AAL,master,Psychological safety in team work,Leadership and project management,Professional identity development,Professional communication with external partners,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,,1,,2,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2025-02-12 12:08:18.829635455,2025-02-12 12:10:11.182008649,CPH,master,Clarification of individual professional competences,Professional identity development,Professional communication with external partners,Leadership and project management,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Psychological safety in team work,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2025-02-11 11:00:46.096708810,2025-02-11 11:07:13.640673868,CPH,bachelor,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,Digitale praksisser i projektarbejdet,Facilitering af produktive møder,Samarbejde på tværs af fagligheder,Interdisciplinary problem design,Facilitation of productive meeting,Collaboration across discplines,SCRUM-techniques in project work?,Ethical technology assessment?,,,,,,,3,1,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2025-02-10 13:09:40.752509741,2025-02-10 13:19:05.571677267,ESB,bachelor,Facilitering af produktive møder,Interdisciplinary problem design,Systemtænkning i ingeniørvidenskab,Tværfagligt problemdesign,Generativ AI i studiepraksis,Etisk teknologivurdering,Psychological safety in teamwork,Facilitation of productive meeting,"Motivation, trivsel og work-life balance",Generativ AI i studiepraksis,,3,,,,1,,,,,,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2025-02-05 11:38:12.144123637,2025-02-05 11:40:08.556963751,ESB,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Professional identity development,Psychological safety in team work,Professional communication with external partners,Ethical technology assessment,Leadership and project management,Creativity and entrepeneurship,,,,,,,,,,,,,1,,,,,,2,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2025-02-10 12:09:04.166760653,2025-02-10 12:13:23.944591906,AAL,master,Digital and hybrid practices in collaborative work,Leadership and project management,Psychological safety in team work,Clarification of individual professional competences,Professional communication with external partners,Ethical technology assessment,Professional identity development,Creativity and entrepeneurship,,,,,,,,,,,,,,,,3,,2,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2025-02-13 15:37:45.332163418,2025-02-13 15:40:12.210124445,AAL,master,Professional communication with external partners,Digital and hybrid practices in collaborative work,Leadership and project management,Creativity and entrepeneurship,Ethical technology assessment,Psychological safety in team work,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,,,1,3,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2025-02-12 21:57:55.383908916,2025-02-12 21:58:02.109015892,AAL,master,Leadership and project management,Digital and hybrid practices in collaborative work,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Ethical technology assessment,Psychological safety in team work,Clarification of individual professional competences,,,,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2025-02-13 12:08:21.119529048,2025-02-13 12:11:27.665907621,ESB,master,Psychological safety in team work,Digital and hybrid practices in collaborative work,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Professional communication with external partners,Leadership and project management,Clarification of individual professional competences,,,,,,,,,,,,,,,,1,,,2,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2025-02-12 10:04:01.695191875,2025-02-12 10:09:02.643633103,AAL,master,Creativity and entrepeneurship,Clarification of individual professional competences,Professional communication with external partners,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Psychological safety in team work,Leadership and project management,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2025-02-06 19:08:54.267921489,2025-02-06 19:11:54.465046622,ESB,master,Creativity and entrepeneurship,Professional identity development,Ethical technology assessment,Leadership and project management,Clarification of individual professional competences,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2025-02-10 22:48:02.077308348,2025-02-10 23:37:04.358033761,AAL,bachelor,Facilitering af produktive møder,Systems thinking in engineering,Systemtænkning i ingeniørvidenskab,Collaboration across discplines,Psychological safety in teamwork,Digitale praksisser i projektarbejdet,Generative AI in study practices?,Generativ AI i studiepraksis,Generative AI in study practices?,Digitale praksisser i projektarbejdet,,3,,,,1,,,,,,,,,,,,,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2025-02-10 09:04:33.857605440,2025-02-10 09:18:42.340244352,ESB,master,Psychological safety in team work,Leadership and project management,Professional communication with external partners,Creativity and entrepeneurship,Ethical technology assessment,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,,1,3,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2025-02-10 12:25:04.448702273,2025-02-10 12:31:22.261319112,ESB,master,Digital and hybrid practices in collaborative work,Ethical technology assessment,Professional communication with external partners,Creativity and entrepeneurship,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Psychological safety in team work,,,,,,,,,,,,,,,2,,3,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2025-02-11 11:41:14.329811957,2025-02-11 11:45:17.821485614,ESB,master,Digital and hybrid practices in collaborative work,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Creativity and entrepeneurship,Psychological safety in team work,Professional identity development,Leadership and project management,,,,,,,,,,,,,3,,,,2,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2025-02-13 21:35:55.021888069,2025-02-13 21:38:19.213763276,CPH,master,Digital and hybrid practices in collaborative work,Ethical technology assessment,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Clarification of individual professional competences,Professional communication with external partners,Creativity and entrepeneurship,,,,,,,,,,,,,,,2,3,,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2025-02-07 15:35:28.326279921,2025-02-07 15:35:39.080911080,ESB,master,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Leadership and project management,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Psychological safety in team work,Creativity and entrepeneurship,,,,,,,,,,,,,,2,,,,3,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2025-02-07 09:08:11.374195684,2025-02-07 09:14:21.340832000,CPH,bachelor,Systemtænkning i ingeniørvidenskab,Generativ AI i studiepraksis,SCRUM-teknikker i projektarbejdet,Tværfagligt problemdesign,Facilitering af produktive møder,SCRUM-techniques in project work?,Samarbejde på tværs af fagligheder,Generative AI in study practices?,Digitale praksisser i projektarbejdet,Systemtænkning i ingeniørvidenskab,,1,,,,,,3,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2025-02-10 09:06:39.411254871,2025-02-10 09:09:02.978229189,CPH,bachelor,Generative AI in study practices?,"Motivation, trivsel og work-life balance",Tværfagligt problemdesign,Etisk teknologivurdering,Digitale praksisser i projektarbejdet,Generativ AI i studiepraksis,Ethical technology assessment?,SCRUM-techniques in project work?,Psykologisk tryghed i teams,Psykologisk tryghed i teams,3,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2025-02-11 10:42:48.193974337,2025-02-11 10:46:23.735684809,CPH,bachelor,Psykologisk tryghed i teams,Facilitering af produktive møder,Generativ AI i studiepraksis,"Motivation, well-being and work-life balance?",SCRUM-techniques in project work?,Interdisciplinary problem design,Psychological safety in teamwork,Samarbejde på tværs af fagligheder,Systemtænkning i ingeniørvidenskab,Systemtænkning i ingeniørvidenskab,,,,1,,2,,,3,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2025-02-12 10:52:54.059988954,2025-02-12 11:37:45.284578275,ESB,master,Professional identity development,Psychological safety in team work,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Professional communication with external partners,Clarification of individual professional competences,Leadership and project management,,,,,,,,,,,,,,,,2,,,3,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2025-02-08 06:51:52.196010140,2025-02-08 06:56:08.791546088,CPH,bachelor,"Motivation, well-being and work-life balance?",Psykologisk tryghed i teams,Digital practices in project work,Samarbejde på tværs af fagligheder,Generative AI in study practices?,Generativ AI i studiepraksis,SCRUM-teknikker i projektarbejdet,"Motivation, trivsel og work-life balance",Systemtænkning i ingeniørvidenskab,SCRUM-teknikker i projektarbejdet,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2025-02-10 19:24:13.896977553,2025-02-10 19:32:34.140049843,ESB,bachelor,Facilitering af produktive møder,Psykologisk tryghed i teams,Collaboration across discplines,"Motivation, trivsel og work-life balance",Systemtænkning i ingeniørvidenskab,Ethical technology assessment?,Samarbejde på tværs af fagligheder,SCRUM-techniques in project work?,SCRUM-teknikker i projektarbejdet,Psykologisk tryghed i teams,,,,2,,1,,,,,,,,,,,,,,,3,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2025-02-09 09:59:53.002219257,2025-02-09 10:03:54.685719013,CPH,master,Digital and hybrid practices in collaborative work,Professional identity development,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Professional communication with external partners,Ethical technology assessment,Creativity and entrepeneurship,,,,,,,,,,,,,,,,3,,,1,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2025-02-10 12:40:47.496233156,2025-02-10 12:43:59.907733997,ESB,master,Leadership and project management,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Ethical technology assessment,Digital and hybrid practices in collaborative work,Psychological safety in team work,Clarification of individual professional competences,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2025-02-13 09:55:19.659557581,2025-02-13 09:56:04.259063836,CPH,master,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Ethical technology assessment,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2025-02-12 09:41:25.301221211,2025-02-12 09:41:28.301221211,ESB,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Leadership and project management,Professional identity development,Professional communication with external partners,Psychological safety in team work,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,,,,,,,,,,,,,1,,2,,,3,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2025-02-09 13:41:46.136312021,2025-02-09 13:43:12.607166396,AAL,master,Professional identity development,Psychological safety in team work,Digital and hybrid practices in collaborative work,Professional communication with external partners,Ethical technology assessment,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,,,,,,,,,,,,,,,,2,,,3,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2025-02-13 12:52:42.423042612,2025-02-13 13:08:32.168666916,ESB,bachelor,Facilitering af produktive møder,Etisk teknologivurdering,Ethical technology assessment,Digitale praksisser i projektarbejdet,Systemtænkning i ingeniørvidenskab,Psykologisk tryghed i teams,SCRUM-teknikker i projektarbejdet,"Motivation, trivsel og work-life balance",SCRUM-techniques in project work?,Ethical technology assessment?,,,2,,,1,,,,,,,3,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2025-02-05 14:48:53.773685830,2025-02-05 14:53:06.399312990,CPH,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Clarification of individual professional competences,Creativity and entrepeneurship,Professional identity development,Digital and hybrid practices in collaborative work,Psychological safety in team work,Ethical technology assessment,,,,,,,,,,,,,1,3,,,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2025-02-07 10:15:15.878766187,2025-02-07 10:24:31.053836301,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Professional identity development,Psychological safety in team work,Ethical technology assessment,,,,,,,,,,,,,1,2,,,3,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2025-02-11 16:42:25.648498088,2025-02-11 16:47:17.554583503,AAL,master,Psychological safety in team work,Creativity and entrepeneurship,Professional communication with external partners,Professional identity development,Clarification of individual professional competences,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2025-02-08 13:59:23.834323570,2025-02-08 14:25:43.018942173,CPH,bachelor,Interdisciplinary problem design,Facilitation of productive meeting,SCRUM-teknikker i projektarbejdet,Ethical technology assessment?,Systems thinking in engineering,Systemtænkning i ingeniørvidenskab,Tværfagligt problemdesign,Digital practices in project work,Psykologisk tryghed i teams,Systemtænkning i ingeniørvidenskab,,,,,,,,3,,,,,,,,,,,1,,,2,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
